year,reg_sk,sex_sk,esp_year,age_sk,sdr
1989,1107,2,1976,65,62.25
1989,1107,2,1976,999,9.73
1989,1107,2,2013,0,1.63
1989,1107,2,2013,15,1.76
1989,1107,2,2013,50,9.35
1989,1107,2,2013,65,74.01
1989,1107,2,2013,999,17.31
1989,1107,3,1976,0,2.25
1989,1107,3,1976,15,3.51
1989,1107,3,1976,50,15.48
1989,1107,3,1976,65,71.45
1989,1107,3,1976,999,12.86
1989,1107,3,2013,0,2.01
1989,1107,3,2013,15,3.65
1989,1107,3,2013,50,15.81
1989,1107,3,2013,65,83.48
1989,1107,3,2013,999,21.32
1989,1108,1,1976,0,2.25
1989,1108,1,1976,15,5.46
1989,1108,1,1976,50,26.07
1989,1108,1,1976,65,102.42
1989,1108,1,1976,999,19.13
1989,1108,1,2013,0,2.03
1989,1108,1,2013,15,5.67
1989,1108,1,2013,50,26.68
1989,1108,1,2013,65,116.68
1989,1108,1,2013,999,30.83
1989,1108,2,1976,0,1.63
1989,1108,2,1976,15,1.57
1989,1108,2,1976,50,10.46
1989,1108,2,1976,65,64.83
1989,1108,2,1976,999,10.14
1989,1108,2,2013,0,1.46
1989,1108,2,2013,15,1.64
1989,1108,2,2013,50,10.81
1989,1108,2,2013,65,75.75
1989,1108,2,2013,999,17.85
1989,1108,3,1976,0,1.94
1989,1108,3,1976,15,3.57
1989,1108,3,1976,50,17.28
1989,1108,3,1976,65,75.87
1989,1108,3,1976,999,13.63
1989,1108,3,2013,0,1.75
1989,1108,3,2013,15,3.71
1989,1108,3,2013,50,17.71
1989,1108,3,2013,65,87.4
1989,1108,3,2013,999,22.45
1989,1110,1,1976,0,2.35
1989,1110,1,1976,15,5.07
1989,1110,1,1976,50,23.07
1989,1110,1,1976,65,86.49
1989,1110,1,1976,999,16.66
1989,1110,1,2013,0,2.12
1989,1110,1,2013,15,5.24
1989,1110,1,2013,50,23.63
1989,1110,1,2013,65,97.01
1989,1110,1,2013,999,26.22
1989,1110,2,1976,0,1.51
1989,1110,2,1976,15,1.7
1989,1110,2,1976,50,9.87
1989,1110,2,1976,65,60.29
1989,1110,2,1976,999,9.58
1989,1110,2,2013,0,1.35
1989,1110,2,2013,15,1.78
1989,1110,2,2013,50,10.15
1989,1110,2,2013,65,70.26
1989,1110,2,2013,999,16.7
1989,1110,3,1976,0,1.93
1989,1110,3,1976,15,3.45
1989,1110,3,1976,50,15.69
1989,1110,3,1976,65,68.86
1989,1110,3,1976,999,12.51
1989,1110,3,2013,0,1.74
1989,1110,3,2013,15,3.57
1989,1110,3,2013,50,16.07
1989,1110,3,2013,65,78.87
1989,1110,3,2013,999,20.4
1989,1111,1,1976,0,2.19
1989,1111,1,1976,15,4.63
1989,1111,1,1976,50,24.02
1989,1111,1,1976,65,90.33
1989,1111,1,1976,999,17.01
1989,1111,1,2013,0,2
1989,1111,1,2013,15,4.83
1989,1111,1,2013,50,24.64
1989,1111,1,2013,65,100.93
1989,1111,1,2013,999,26.98
1989,1111,2,1976,0,1.23
1989,1111,2,1976,15,1.25
1989,1111,2,1976,50,8.19
1989,1111,2,1976,65,60.47
1989,1111,2,1976,999,9.01
1989,1111,2,2013,0,1.11
1989,1111,2,2013,15,1.31
1989,1111,2,2013,50,8.46
1989,1111,2,2013,65,71.48
1989,1111,2,2013,999,16.35
1989,1111,3,1976,0,1.72
